Datum,Niederschlag,Month,Niederschlag_Lag_1,Niederschlag_Lag_2,Niederschlag_Lag_3,Niederschlag_Lag_7,Niederschlag_Rolling_Mean_3d,Niederschlag_Rolling_Sum_3d,Niederschlag_Rolling_Mean_7d,Niederschlag_Rolling_Sum_7d,Niederschlag_Rolling_Mean_14d,Niederschlag_Rolling_Sum_14d,Has_Rain,Heavy_Rain_Day,Year,DayOfWeek,IsWeekend,Rain_Category_Extreme_Rain,Rain_Category_Heavy_Rain,Rain_Category_Light_Rain,Rain_Category_Moderate_Rain,Rain_Category_No_Rain,Season_Autumn,Season_Spring,Season_Summer,Season_Winter
2018-02-09,0.0,2,0.0,0.0,0.0,1.2,0.0,0.0,0.4714285714285712,3.2999999999999985,2.3642857142857148,33.10000000000001,0,0,2018,4,0,False,False,False,False,True,False,False,False,True
2018-02-10,0.0,2,0.0,0.0,0.0,2.7,0.0,0.0,0.08571428571428545,0.5999999999999982,2.028571428571429,28.400000000000006,0,0,2018,5,1,False,False,False,False,True,False,False,False,True
2018-02-11,4.9,2,0.0,0.0,0.0,0.6,1.6333333333333357,4.9000000000000075,0.6999999999999998,4.899999999999999,2.214285714285715,31.000000000000007,1,0,2018,6,1,False,False,False,True,False,False,False,False,True
2018-02-12,6.2,2,4.9,0.0,0.0,0.0,3.700000000000003,11.100000000000009,1.5857142857142854,11.099999999999998,1.871428571428572,26.20000000000001,1,0,2018,0,0,False,False,False,True,False,False,False,False,True
2018-02-13,0.0,2,6.2,4.9,0.0,0.0,3.700000000000003,11.100000000000009,1.5857142857142854,11.099999999999998,1.871428571428572,26.20000000000001,0,0,2018,1,0,False,False,False,False,True,False,False,False,True
2018-02-14,0.0,2,0.0,6.2,4.9,0.0,2.066666666666669,6.200000000000007,1.5857142857142854,11.099999999999998,1.3571428571428577,19.000000000000007,0,0,2018,2,0,False,False,False,False,True,False,False,False,True
2018-02-15,1.1,2,0.0,0.0,6.2,0.0,0.3666666666666691,1.1000000000000072,1.7428571428571427,12.2,1.1928571428571433,16.700000000000006,1,0,2018,3,0,False,False,True,False,False,False,False,False,True
2018-02-16,0.1,2,1.1,0.0,0.0,0.0,0.4000000000000024,1.2000000000000073,1.757142857142857,12.299999999999999,1.1142857142857148,15.600000000000007,1,0,2018,4,0,False,False,True,False,False,False,False,False,True
2018-02-17,0.0,2,0.1,1.1,0.0,0.0,0.4000000000000024,1.2000000000000073,1.757142857142857,12.299999999999999,0.9214285714285719,12.900000000000007,0,0,2018,5,1,False,False,False,False,True,False,False,False,True
2018-02-18,0.0,2,0.0,0.1,1.1,4.9,0.033333333333335706,0.10000000000000711,1.057142857142857,7.399999999999999,0.8785714285714291,12.300000000000008,0,0,2018,6,1,False,False,False,False,True,False,False,False,True
